App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
I,Manidae spp.,scales,kg,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,
I,Manis gigantea,leather products (small),,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
I,Manis javanica,specimens,g,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692,
I,Manis pentadactyla,medicine,,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,
I,Manis pentadactyla,specimens,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Manis spp.,bodies,,LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Manis spp.,leather products (small),,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
I,Manis spp.,meat,kg,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
I,Manis spp.,meat,,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
I,Manis spp.,meat,,TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
I,Manis spp.,medicine,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,
I,Manis spp.,medicine,,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,
I,Manis spp.,medicine,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
I,Manis spp.,scales,kg,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,
I,Manis spp.,scales,kg,KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Manis spp.,specimens,,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Manis temminckii,bodies,,CG,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Manis temminckii,bodies,,ZA,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Manis tetradactyla,scales,g,CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
I,Manis tetradactyla,scales,,CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
I,Manis tetradactyla,specimens,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Manis tetradactyla,specimens,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Manis tricuspis,specimens,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
II,Manis crassicaudata,bodies,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
II,Manis crassicaudata,leather products (small),,TW,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis crassicaudata,shoes,,ES,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis crassicaudata,shoes,,SG,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis crassicaudata,skins,cm,JP,,,,,,,28032,11840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis crassicaudata,skins,,JP,,,,298,5190,2810,1557,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis crassicaudata,skins,,SG,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis crassicaudata,specimens,ml,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
II,Manis crassicaudata,specimens,,LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
II,Manis crassicaudata,specimens,,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
II,Manis crassicaudata,specimens,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,
II,Manis culionensis,specimens,,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,
II,Manis culionensis,specimens,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,5,,,
II,Manis gigantea,bodies,,CM,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
II,Manis gigantea,bodies,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
II,Manis gigantea,derivatives,g,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,,,,,
II,Manis gigantea,leather products (small),,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,58,,2,
II,Manis gigantea,live,,NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
II,Manis gigantea,live,,TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,58,,,,,,
II,Manis gigantea,scales,g,ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,
II,Manis gigantea,scales,kg,BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6521,7705.7,
II,Manis gigantea,scales,kg,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,
II,Manis gigantea,scales,kg,TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,135,110,,,,,
II,Manis gigantea,scales,kg,UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,3310,,4099,,
II,Manis gigantea,scales,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,29,,
II,Manis gigantea,scales,,LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
II,Manis gigantea,scales,,TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,45,,,,,,
II,Manis gigantea,skin pieces,,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
II,Manis gigantea,skin pieces,,TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,
II,Manis gigantea,skin pieces,,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
II,Manis gigantea,skins,kg,UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,
II,Manis gigantea,skins,,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
II,Manis gigantea,skins,,TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,225,200,,,,
II,Manis gigantea,skins,,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
II,Manis gigantea,skins,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,
II,Manis gigantea,specimens,,CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
II,Manis gigantea,trophies,,LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
II,Manis javanica,bodies,,HK,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,bodies,,ID,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,bodies,,JP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,bodies,,KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
II,Manis javanica,bodies,,KR,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,bodies,,MY,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,
