id,year,appendix,taxon,class,ord,family,genus,term,quantity,unit,importer,exporter,origin,purpose,source,reporter_type,import_permit_randomid,export_permit_randomid,origin_permit_randomid
326704,1979,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,skins,356,"",US,ES,XX,T,"",I,"","",""
326710,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,skin pieces,1,cartons,HK,XX,"","",I,I,"","",""
326711,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,XX,TH,P,"",I,"","",""
326712,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,2,"",US,XX,TH,P,"",I,"","",""
326713,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,2,"",US,XX,TH,P,"",I,"","",""
326714,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,1,"",US,XX,TH,P,"",I,"","",""
326715,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,XX,TH,P,"",I,"","",""
326716,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,1,"",US,XX,TH,P,"",I,"","",""
326717,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,TH,XX,P,"",I,"","",""
326718,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,2,"",US,TH,"",P,"",I,"","",""
326719,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,4,"",US,TH,"",P,"",I,"","",""
326720,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,TH,"",P,"",I,"","",""
326721,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,bodies,1,"",US,PH,"",P,"",I,"","",""
326722,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,TH,"",P,"",I,"","",""
326723,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,TH,"",P,"",I,"","",""
326724,1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,TH,"",P,"",I,"","",""
326725,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,skins,609,"",US,PH,"",T,"",I,"","",""
326726,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,skins,609,"",US,PH,"",T,"",I,"","",""
326727,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,2,"",US,TH,"","",I,I,"","",""
326728,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,MX,TH,T,"",I,"","",""
326729,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,149,"",US,MX,XX,T,"",I,"","",""
326730,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,skins,1,"",US,MX,XX,"",I,I,"","",""
326731,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather products (small),1,"",US,TH,XX,P,"",I,"","",""
326732,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,1,"",US,TH,XX,P,"",I,"","",""
326733,1982,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,1,"",US,XX,"",P,"",I,"","",""
326734,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,TH,"",P,"",I,"","",""
326735,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,TH,"",P,"",I,"","",""
326736,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,XX,"",P,"",I,"","",""
326737,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,1,"",US,MX,"",T,"",I,"","",""
326738,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,5,"",US,MX,"","",I,I,"","",""
326739,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,skins,4,"",US,PH,"",T,"",I,"",15bd5ab31a,""
326740,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,shoes,4,"",US,XX,"",T,"",I,"","",""
326741,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather products (small),1,"",US,MX,XX,"","",I,"",f9777d2f5e,""
326742,1983,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather items,6,"",US,MX,XX,"","",I,"","",""
