,year,appendix,taxon,class,ord,family,genus,term,importer,exporter,origin,purpose,source,reporter_type,unit,quantity
340,2008,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,AU,NZ,CN,L,I,E,kg,0.0018
343,2008,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,AU,NZ,CN,L,I,E,kg,0.0104
2464,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,E,kg,2000.0
2465,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,E,kg,2000.0
2486,1994,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,E,kg,2000.0
2496,1994,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,SG,MY,,T,,E,kg,2000.0
2559,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,HK,MY,T,W,E,kg,1600.0
2562,1998,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,HK,SG,MY,T,W,E,kg,1027.0
2662,1997,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,scales,US,CN,,T,W,E,kg,500.0
2705,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,SG,MY,,T,W,E,kg,2000.0
2706,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,SG,MY,,T,W,E,kg,3500.0
2707,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,SG,MY,,T,W,E,kg,580.0
2708,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,SG,MY,,T,W,E,kg,400.0
2709,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,SG,MY,,T,W,E,kg,450.0
2710,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,SG,MY,,T,W,E,kg,2500.0
2930,2000,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,HK,SG,MY,T,W,E,kg,350.0
3145,2010,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,E,kg,1000.0
3161,2009,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,E,kg,500.0
3162,2009,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,E,kg,500.0
3210,2011,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,,T,W,E,kg,50.0
3221,2012,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,VN,UG,,T,W,E,kg,70.0
3237,2012,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,,T,W,E,kg,25.0
3238,2012,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,,T,W,E,kg,25.0
3239,2012,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,,T,W,E,kg,15.0
3240,2012,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,,T,W,E,kg,20.0
3241,2012,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,,T,W,E,kg,25.0
3242,2012,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,,T,W,E,kg,25.0
3243,2012,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,E,kg,500.0
3244,2012,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,E,kg,300.0
3384,2013,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,scales,HK,TG,,T,W,E,kg,30.0
3446,2013,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,XX,T,W,E,kg,15.0
3447,2013,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,XX,T,W,E,kg,15.0
3448,2013,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,XX,T,W,E,kg,25.0
3449,2013,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,TH,TG,XX,T,W,E,kg,25.0
3452,2013,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,CN,TG,XX,T,W,E,kg,30.0
3453,2013,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,VN,UG,,T,W,E,kg,70.0
3454,2014,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,MY,UG,,T,W,E,kg,99.0
3455,2014,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,CN,UG,,T,W,E,kg,3211.0
3500,2016,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,DE,CI,,S,W,E,kg,0.04
3570,2016,II,Manis gigantea,Mammalia,Pholidota,Manidae,Manis,scales,LA,UG,,T,W,E,kg,99.0
