,year,appendix,taxon,class,ord,family,genus,term,importer,exporter,origin,purpose,source,reporter_type,unit,quantity
137,1997,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,KR,XX,,L,U,I,kg,366.0
175,1999,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,LA,,,I,I,kg,0.109
179,1999,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,LA,XX,,I,I,kg,0.043
180,1999,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,LA,XX,P,I,I,kg,0.032
198,2001,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,LA,,P,I,I,kg,0.022
201,2001,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,LA,XX,P,I,I,kg,0.02
205,2001,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,LA,,P,I,I,kg,0.019
211,2002,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,VN,,P,I,I,kg,0.006
212,2002,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,VN,,P,I,I,kg,0.007
280,2006,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,TH,,P,I,I,kg,0.29600000000000004
320,2008,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,LA,,P,I,I,kg,0.023
373,2010,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,I,kg,500.0
394,2009,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,TH,XX,T,I,I,kg,0.13
471,2011,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,scales,US,TH,XX,P,I,I,kg,0.14
2427,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,I,kg,2000.0
2428,1996,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,scales,CN,SG,MY,T,W,I,kg,2000.0
