id,year,appendix,taxon,class,ord,family,genus,term,quantity,unit,importer,exporter,origin,purpose,source,reporter_type,import_permit_randomid,export_permit_randomid,origin_permit_randomid
5393428,1981,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,350,"",US,TW,MY,T,"",I,"","",""
326707,1980,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,leather products (small),1,"",US,TW,XX,P,"",I,"","",""
1278074,1998,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,derivatives,4,"",NZ,TW,XX,"",I,I,"","",""
1278088,1998,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,live,33,"",US,TW,US,T,W,I,"","",""
2883708,2005,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,skin pieces,15,"",US,TW,XX,P,I,I,"","",""
5393269,1984,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,leather products (small),1,"",US,TW,XX,"",I,I,"","",""
5393296,1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,MY,T,"",I,"","",""
5393385,1981,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,400,"",US,TW,MY,T,"",I,"","",""
5393429,1981,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,400,"",US,TW,MY,T,"",I,"","",""
5393901,1985,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,900,m,JP,TW,"",T,"",I,"","",""
5393902,1985,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,500,"",JP,TW,"",T,"",I,"","",""
5394339,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,206,"",US,TW,MY,T,"",I,"","",""
5394258,1979,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,100,"",US,TW,CN,T,"",I,"","",""
5394259,1979,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,400,"",US,TW,CN,T,"",I,"","",""
5394264,1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,800,"",US,TW,ID,T,"",I,"","",""
5394267,1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,550,"",US,TW,"",T,"",I,"","",""
5394269,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,35,"",IT,TW,"","","",I,"","",""
5394270,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,150,"",IT,TW,"","","",I,"","",""
5394413,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skin pieces,231,"",US,TW,XX,T,"",I,"",6cfddbf229,""
5394432,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,leather products (small),41,"",US,TW,XX,T,"",I,"","",fa846b9888
5394433,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,XX,T,"",I,"",0379ddeb3a,""
5394434,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,500,"",US,TW,SG,T,"",I,"",147be7585a,""
5394435,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,500,"",US,TW,SG,T,"",I,"",117e90bc5e,""
5394436,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,leather items,40,"",US,TW,XX,T,"",I,"",250ffe6475,""
5394440,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,400,"",US,TW,"",T,"",I,"",61a492b17f,""
5394441,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,500,"",US,TW,"",T,"",I,"",21837ad9c6,""
5394442,1983,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,600,"",US,TW,"",T,"",I,"",907987eb2c,""
5394302,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,ID,T,"",I,"","",""
5394303,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,8636,cm,US,TW,"",T,"",I,"","",""
5394304,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,400,"",US,TW,ID,T,"",I,"","",""
5394305,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,200,"",US,TW,"",T,"",I,"","",""
5394306,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,10285,cm,US,TW,"",T,"",I,"","",""
5394308,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,CN,T,"",I,"","",""
5394314,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,1,"",US,TW,SG,T,"",I,"","",""
5394317,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,325,"",US,TW,MY,T,"",I,"","",""
5394318,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,150,"",US,TW,XX,T,"",I,"","",""
5394319,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,150,"",US,TW,XX,T,"",I,"","",""
5394320,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,ID,T,"",I,"","",""
5394321,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,CN,T,"",I,"","",""
5394322,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,ID,T,"",I,"","",""
5394328,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,392,"",US,TW,ID,T,"",I,"","",""
5394329,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,100,"",US,TW,"",T,"",I,"","",""
5394330,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,ID,T,"",I,"","",""
5394331,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,80,"",US,TW,MY,T,"",I,"","",""
5394332,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,CN,T,"",I,"","",""
5394333,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,"",T,"",I,"","",""
5394335,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,"",T,"",I,"","",""
5394337,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,11714,cm,US,TW,ID,T,"",I,"","",""
5394342,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,IN,T,"",I,"","",""
5394343,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,325,"",US,TW,MY,T,"",I,"","",""
5394344,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,220,"",US,TW,"",T,"",I,"",47cf3141dd,""
5394345,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,180,"",US,TW,"",T,"",I,"",e4b1903fa7,""
5394346,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,400,"",US,TW,"",T,"",I,"",b79680c478,""
5394347,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,208,"",US,TW,ID,T,"",I,"","",""
5394348,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,500,"",US,TW,MY,T,"",I,"","",""
5394352,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,300,"",US,TW,"",T,"",I,"","",""
5394353,1981,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,150,"",US,TW,XX,T,"",I,"","",""
5394354,1982,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,550,"",US,TW,CN,T,"",I,"","",""
5394364,1982,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,500,"",US,TW,ID,T,"",I,"","",""
5394368,1982,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,150,"",US,TW,SG,T,"",I,"","",""
5394383,1982,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,250,"",US,TW,"",T,"",I,"","",""
5394384,1982,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,500,"",US,TW,"",T,"",I,"",d7d48a984e,""
5394385,1982,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,250,"",US,TW,"",T,"",I,"","",""
5394386,1982,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,250,"",US,TW,"",T,"",I,"","",""
5857919,1987,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,50,"",US,TW,MM,T,"",I,"",7deb2b3b30,""
5394517,1985,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,leather items,12,"",US,TW,TH,"",I,I,"","",""
5394521,1985,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,leather items,12,"",US,TW,TH,T,"",I,"","",""
5394461,1984,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,830,"",US,TW,TH,T,"",I,"",830ce869b6,""
5394462,1984,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,830,"",US,TW,TH,T,"",I,"",72bbb34fee,""
5394470,1984,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,200,"",US,TW,TH,T,"",I,"",830ce869b6,""
5394504,1984,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,320,"",US,TW,SG,T,"",I,"",6979c3c857,""
5394505,1984,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,200,"",US,TW,SG,T,"",I,"",ccb35b5010,""
5394508,1985,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,skins,1000,"",JP,TW,"",T,"",I,"","",""
5857922,1987,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,960,"",US,TW,MM,T,"",I,"",8f2951cca0,""
5857930,1987,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,399,"",US,TW,MM,T,"",I,"",ca4f465664,""
6815820,1997,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,live,2,"",DE,TW,"",Z,W,I,6e215c245e,b633d8f41c,""
6348248,1991,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,148,"",US,TW,VN,T,C,I,"",072578c409,""
5857870,1987,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,25,"",US,TW,TH,T,"",I,"",549833ed9f,""
5857886,1987,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,400,"",US,TW,TH,T,"",I,"",6e1670b447,""
6348232,1990,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,50,"",US,TW,VN,T,C,I,"",d87c928237,""
7371505,1997,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,derivatives,1,kg,US,TW,CN,T,I,I,,,
9404552,2005,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,specimens,63,"",US,TW,"",S,W,I,"",533a9c93c9,""
7856194,2000,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,specimens,18,"",US,TW,"",M,C,I,"",3bb07e9fec,""
7856196,2000,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,specimens,2,"",US,TW,"",S,C,I,"",fa86ba53b5,""
7856201,2001,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,specimens,3,"",US,TW,"",S,C,I,"",392f5465f1,""
10975391,2008,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,specimens,14,kg,US,TW,CN,S,W,I,"",2e5c1ce01d,""
10456378,2007,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,live,1,"",DE,TW,"",Z,W,I,ca188a61a0,4e09a0cb85,""
