Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,2000.0,31.0,,,2.0,,,,12.0,85.0,,37.0,,,4.0,,13.0,,,,,,19.0,2.0,,,,,4000.0,,
2,5.0,,,,,,572.0,,,2.0,1.0,5.0,,,,1.0,,,,,,,6.0,,,1.0,2.0,1.0,,,
3,3.0,,3.0,,,,,,70.0,,,,,,,,15.0,,16.0,,880.0,53.0,,15.0,,1.0,,,,,2.0
4,2.0,,,,142.0,8.0,,,2.0,,,,,,,,,,,1.0,,1.0,,,,2.0,185.0,,2.0,,
5,5.0,,,,,,1.0,,,2.0,,,3.0,,1.0,,193.0,,1.0,,,,50.0,,,1.0,,7.0,,,
6,14.51,,,,1.0,,1.0,,,,,,,12.0,,115.0,,,,,,,1.0,,,,1.0,,,,
7,2.0,,150.0,,,34.0,1.0,1.0,455.0,,,,2090.0,,,,9.0,,1.0,,,,,,21.0,1.0,,,2.0,31.0,4.0
8,,1.0,,,1.0,,,4.0,,12.0,,,,,28.0,,,3.0,,,2.0,,,,,,1.0,,40.0,,
9,,3.0,,,,21.0,,,939.0,,,,,,,,,,,,,,1.0,,,,,,,,
10,,,,1.0,,,63.0,,,,,1.0,,,,,,,,30.0,,4.0,,75.0,,,41.0,,,2.0,
11,3.0,,2674.0,,,,,,1.0,,9.0,,,,,,,,15.0,,,,27.0,,,,,,,1.0,
12,416.0,,,,,,,,,,1.0,1.0,,1.0,31.0,,,,,26.0,,,1.0,,,,,,,,
