Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,8907.0,36.0,3.0,388.0,2083.0,6055.0,31.0,401.0,13.0,154.0,1.0,54.0,823.0,,59.0,2481.0,13917.0,7.0,114.0,596.0,7311.0,4.0,312.0,464.0,3529.0,326.0,20.0,14.0,4276.0,3164.0,32.0
2,809.0,81.0,,1649.0,,66.0,6002.0,1.0,200.0,8.0,6.0,89.0,,2572.0,2025.0,373.0,11.0,15.0,2.0,186.0,11.0,203.0,11.0,140.0,111.0,9.0,165.0,99.0,5101.0,,
3,1239.0,93.0,365.0,48.0,8495.0,4.0,2801.0,240.0,82.0,74.0,1.0,,51.0,2511.0,2151.0,,15.0,108.0,831.0,2035.0,898.0,180.55,55.0,35.0,8633.0,15.0,607.0,12.0,162.0,,50.0
4,435.0,31.0,36086.0,325.5,260.0,1042.0,80.0,23013.0,2.0,1620.0,26.0,4021.0,,220.0,57.0,,1.0,,11.0,185.0,,2.0,290.0,82.0,,586.0,4012.0,2.0,15.0,1.0,
5,5032.0,140.0,3300.0,202.0,123.0,138.0,203.5,57.0,304.0,96.0,132.0,493.0,29.0,93.0,645.0,288.0,326.0,120.0,6.0,,47.0,11.0,5669.0,41.0,5.0,320.0,4.5,1050.0,7216.0,8.0,2.0
6,1871.0,294.0,25.0,172.0,2.0,1124.0,119.0,,228.0,927.0,2375.0,3.0,4.0,178.0,11.29,1013.0,48.38,19.5,103.0,23.0,1798.0,44.0,4007.0,264.0,393.0,603.0,16.0,22.0,10.0,73.0,
7,12852.0,251.0,1040.0,401.0,20.0,636.0,1.0,152.0,591.0,383.0,7375.0,128.0,2092.0,,556.0,9.0,278.4,409.0,7424.0,7204.0,11949.0,2.0,1471.0,1.0,172.0,1341.0,3000.0,2185.0,17369.0,51.0,77.0
8,4033.0,304.0,234.0,52.0,14.0,,,7.0,11.0,12.0,86.0,412.0,109.0,25.0,855.0,175.0,3.0,1460.0,105.0,1.0,35.0,65.0,129.0,2025.0,4449.0,12.38,102.0,986.0,47.0,1790.0,5.0
9,610.0,213.0,,122.0,,149.0,542.0,58.0,2329.0,,554.0,2.0,250.0,14.0,,682.0,165.0,,18.0,1.0,35.0,61.0,62.0,16.0,39.0,131.0,140.0,914.0,,17.0,
10,205.0,6.5,,6001.0,154.0,64.0,407.0,3.0,34.0,355.0,2.0,117.0,39.0,,106.0,27.0,,,182.0,33.0,278.0,193.0,145.3,76.0,4.0,250.0,81.0,5.0,1.0,72.0,166.0
11,49.0,22.0,2745.0,512.0,4.0,320.0,15.0,1.0,182.0,1858.0,198.0,45.0,481.0,59.0,74.0,2727.0,2.0,552.0,440.0,,105.0,3265.0,90.2,217.0,12.0,16.0,501.0,,56.0,4.0,
12,460.0,44.0,124.0,1704.0,48.0,,1159.0,615.0,32.0,3101.0,164.0,380.0,100.0,71.0,203.0,155.0,647.0,130.0,,28.0,870.0,1.0,3565.0,102.0,118.0,100.0,,11.0,440.0,210.0,7561.0
