Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,4694.299999999999,3.5,,102.5,1866.0,6050.0,30.0,,0.8,,,,405.0,,30.0,2263.0,13700.0,7.0,110.2,391.0,,2.0,263.0,423.0,3529.0,326.0,,,,2830.0,32.0
2,97.162,,,866.0,,,361.195,,200.0,6.0,,,,2566.0,2001.0,347.7,11.0,,1.019,10.9,,2.525,,4.0,111.0,,,1.5,900.0,,
3,951.4399999999999,,357.0,47.96,8495.0,2.7,2800.0,,10.634,73.0,,,42.4,2502.0,2150.0,,,,814.0,2000.0,18.3,21.55,,2.19,8312.56,,548.0,3.52,162.0,,
4,380.01,26.330000000000002,12984.5,2.5,,1000.0,,12713.0,,1600.0,,4020.5,,220.0,,,,,,11.0,,,100.0,,,131.0,3820.0,,,,
5,4052.0,712.0,3300.0,,123.0,138.0,202.5,,102.0,,89.5,491.0,25.4,,630.0,,,80.0,,,1.0,9.45,5304.0,38.0,1.68,319.42125,4.7,1000.0,7209.0,8.0,
6,106.5,144.0,1.15,,,930.0,1.23,,228.0,926.0,2340.0,1.3,2.5,80.0,10.79,787.5,48.38,10.5,,,1798.0,,4000.0,,49.2,208.0,,12.0,2.799,,
7,12065.49,250.0,672.0,400.0,10.0,600.0,,41.28,19.8,380.0,7375.0,102.95,1.0,,410.0,3.9,100.4,334.0,7458.0,7100.0,11900.0,,1471.0,,120.0,1299.0,3000.0,2100.0,9210.0,5.0,72.5
8,1003.4,300.9,234.0,,8.5,,,,1.0,,,412.15,,10.0,170.2,175.0,,1456.0,,,,65.0,127.25,2025.0,4280.0,3.88,3.2,895.0,,550.0,5.0
9,50.0,2.0,,,,7.0,387.0,58.0,1269.0,,,,150.0,13.6,,482.0,165.0,,1.9,1.0,,43.0,,13.0,,33.8,,803.0,,17.0,
10,158.9,6.48,,6000.0,58.5,,85.9,2.9,33.0,136.0,0.5,,37.8,,,1.7,,,150.0,,277.0,,144.245,,2.0,200.0,2.7,,,,140.0
11,,19.0,10.0,500.0,2.0,200.0,15.0,,100.0,1356.09,100.0,45.0,190.7,2.5,10.5,2446.0,,,,,,3214.0,62.397,,,14.0,501.0,,55.0,,
12,29.5,,,1700.0,37.0,,,587.0,,3100.0,,313.0,6.4,5.5,53.0,,646.0,,,,870.0,,1526.8,100.0,,,,2.0,440.0,,7561.0
