,province,hospital,x,y
0,北京,北京中医医院,116.3857109,39.9493125
1,北京,北京藏医院,97.1812516,31.1422852
2,北京,北京鼓楼中医医院,na,na
3,北京,护国寺中医医院,116.3701463,39.9349921
4,北京,宣武区中医院,118.849292049063,32.0330591
5,北京,房山区中医医院,115.9567009,39.7209049
6,北京,大兴区中医医院,na,na
7,北京,顺义区中医医院,na,na
8,北京,怀柔区中医医院,116.624099993153,40.31176125
9,北京,通州区中医医院,na,na
10,北京,北京市中西医结合医院,na,na
11,北京,朝阳区中医医院,116.3857109,39.9493125
12,北京,昌平区中医医院,na,na
13,天津,天津中医药大学一附院,na,na
14,天津,天津中医药研究院附属医院,na,na
15,天津,天津市中医医院,na,na
16,天津,南开医院,105.001,26.7554
17,天津,南开区中医医院,na,na
18,天津,和平区中医医院,na,na
19,天津,武清区中医医院,na,na
20,河北,河北省中医院,114.8873508,40.8250087
21,河北,石家庄市中医院,na,na
22,河北,唐山市中医院,113.2381169,23.1120415
23,河北,邯郸市中医院,na,na
24,河北,保定市第一中医院,na,na
25,河北,迁安市中医院,na,na
26,河北,丰润区中医院,na,na
27,河北,滦平县中医院,na,na
28,河北,香河县中医院,na,na
29,河北,唐县中医院,115.92031,28.5756467
30,河北,献县中医院,116.105544421246,38.18175015
31,河北,新乐市中医院,113.300412,33.7447353
32,河北,涉县中医院,115.92031,28.5756467
33,河北,内邱县中医院,na,na
34,河北,曲周县中医院,118.410944460348,29.14555015
35,河北,行唐县中医院,na,na
36,河北,辛集市中医院,115.2058783,37.9380263
37,河北,万全县中医院,na,na
38,河北,玉田县中医院,na,na
39,河北,大城县中医院,105.7146281,34.5753173
40,河北,平泉县中医院,na,na
41,河北,曲阳县中医院,na,na
42,河北,东光县中医院,na,na
43,河北,馆陶县中医院,na,na
44,河北,深州市中医院,na,na
45,河北,宽城县中医院,na,na
46,河北,蔚县中医院,100.3055654,25.2382562
47,河北,丰宁县中医院,na,na
48,河北,饶阳县中医院,na,na
49,河北,灵寿县中西医结合医院,na,na
50,河北,宁晋市中西医结合医院,na,na
51,山西,山西省中医院,na,na
52,山西,山西中医学院第二中医院,na,na
53,山西,山西中医学院第三中医院,na,na
54,山西,太原市中医医院,na,na
55,山西,朔州市中医院,na,na
56,山西,长治市中医药研究所附院,na,na
57,山西,晋中市中医院,na,na
58,山西,运城市中医院,na,na
59,山西,广灵县中医院,na,na
60,山西,左云县中医院,na,na
61,山西,朔州中医精神病医院,na,na
62,山西,山阴县中医院,115.92031,28.5756467
63,山西,应县中医院,113.180771124527,39.5596508
64,山西,怀仁县中医院,na,na
65,山西,榆次区中医院,na,na
66,山西,寿阳县中医院,na,na
67,山西,稷山县中医院,na,na
68,内蒙古,内蒙古中蒙医医院,na,na
69,内蒙古,内蒙古民族大学附院,na,na
70,内蒙古,鄂尔多斯市中医院,na,na
71,内蒙古,阿盟蒙医医院,na,na
72,内蒙古,兴安盟蒙医院,na,na
73,内蒙古,赤峰市中蒙医院,na,na
74,内蒙古,达茂旗蒙医院,na,na
75,内蒙古,扎兰屯市中蒙医院,na,na
76,内蒙古,科右中旗蒙医院,na,na
77,内蒙古,突泉县中医院,na,na
78,内蒙古,开鲁县中医院,na,na
79,内蒙古,奈曼旗蒙医院,na,na
80,内蒙古,库伦旗蒙医院,na,na
81,内蒙古,宁城县中蒙医院,na,na
82,内蒙古,林西县中蒙医院,na,na
83,内蒙古,巴林右旗蒙医院,na,na
84,内蒙古,多伦县中医院,na,na
85,内蒙古,正兰旗蒙医院,na,na
86,内蒙古,兴和县中医院,na,na
87,内蒙古,杭锦旗蒙医院,na,na
88,内蒙古,鄂托克前旗蒙医院,na,na
89,内蒙古,乌拉特前旗中蒙医院,na,na
90,内蒙古,五原县中蒙医院,na,na
91,内蒙古,额济纳旗中蒙医院,na,na
92,辽宁,辽宁中医药大学附属医院,na,na
93,辽宁,辽宁中医药大学附属第二医院,na,na
94,辽宁,沈阳市中医院,na,na
95,辽宁,沈阳市中西医结合医院,na,na
96,辽宁,大连市中西医结合医院,na,na
97,辽宁,抚顺市中医院,na,na
98,辽宁,本溪市中医院,123.758754089787,41.2943383
99,辽宁,丹东市中医院,na,na
100,辽宁,皇姑区中医院,na,na
101,辽宁,东陵区中医院,na,na
102,辽宁,苏家屯区中医院,na,na
103,辽宁,新民市中医院,na,na
104,辽宁,金州区中医院,na,na
105,辽宁,旅顺口区中医院,na,na
106,辽宁,庄河市中医院,na,na
107,辽宁,瓦房店市中医院,na,na
108,辽宁,鞍山铁东区中医院,na,na
