,year,court,lat,lng,confidence
0,2016,勐海县人民法院,21.95735901,100.4454754,80
1,2013,江山市人民法院,28.75665483,118.6492221,80
2,2013,东兴市人民法院,21.56114478,107.9960808,80
3,2018,普洱市中级人民法院,22.76734995,100.9906291,80
4,2013,防城港市防城区人民法院,21.77490918,108.3648569,80
5,2015,茶陵县人民法院,26.77967881,113.5348856,75
6,2016,南宁市中级人民法院,22.80889483,108.3782718,80
7,2018,广州市白云区人民法院,23.20697789,113.2705305,80
8,2018,钦州市钦南区人民法院,21.9444695,108.6571004,80
9,2014,河南省郑州市中级人民法院,34.77142861,113.7549071,70
10,2014,茶陵县人民法院,26.77967881,113.5348856,75
11,2012,昆明市盘龙区人民法院,25.07373012,102.7258984,90
12,2017,江山市人民法院,28.75665483,118.6492221,80
13,2018,乐清市人民法院,28.11769951,120.9840775,70
14,2015,昆明市盘龙区人民法院,25.07373012,102.7258984,90
15,2015,富阳市人民法院,30.06586169,119.950352,80
16,2015,广州市花都区人民法院,23.37862423,113.2155254,90
17,2014,南京市鼓楼区人民法院,32.07124798,118.7509425,80
18,2015,珠海市中级人民法院,22.2855095,113.5436288,80
19,2016,芒市人民法院,24.44503386,98.59295169,80
20,2015,大姚县人民法院,25.72341729,101.3336781,80
21,2018,石门县人民法院,29.58634639,111.3705233,80
22,2014,郑州市中级人民法院,34.77142861,113.7549071,70
23,2015,盘县人民法院,25.70412206,104.4777349,80
24,2016,磐安县人民法院,29.05335031,120.458538,80
25,2018,德宏傣族景颇族自治州中级人民法院,24.45082177,98.5874334,80
26,2013,钦州市中级人民法院,21.94502685,108.6670987,75
27,2018,阿尔山市人民法院,47.19090762,119.9466396,80
28,2018,宁洱哈尼族彝族自治县人民法院,23.05978863,101.0506752,80
29,2011,厦门市海沧区人民法院,24.49014795,118.036839,75
30,2015,盘县人民法院,25.70412206,104.4777349,80
31,2015,东阳市人民法院,29.29381509,120.2523938,80
32,2012,深圳市罗湖区人民法院,22.56167959,114.1524785,75
33,2018,亳州市中级人民法院,33.86209518,115.7856406,80
34,2014,沧源佤族自治县人民法院,23.15627822,99.25510526,80
35,2017,内江市市中区人民法院,29.59008998,105.065569,80
36,2019,芒市人民法院,24.44503386,98.59295169,80
37,2016,益阳市中级人民法院,28.56610779,112.3691449,80
38,2006,绍兴县人民法院,30.0913424,120.4903199,80
39,2018,芒市人民法院,24.44503386,98.59295169,80
40,2016,内江市中级人民法院,29.58498183,105.0603247,80
41,2014,双江拉祜族佤族布朗族傣族自治县人民法院,23.48499697,99.82962891,80
42,2015,盈江县人民法院,24.71202533,97.93588882,80
43,2014,茶陵县人民法院,26.77967881,113.5348856,75
44,2015,杭州市萧山区人民法院,30.18775125,120.2663828,80
45,2014,钦州市中级人民法院,21.94502685,108.6670987,75
46,2016,公诉机关勐海县人民检察院,21.9602859,100.4591351,80
