,year,court,lat,lng,confidence,province
0,2016,勐海县人民法院,21.95735900600114,100.44547541256016,80.0,云南
1,2018,广州市白云区人民法院,23.206977891037972,113.27053051650819,80.0,广东
2,2018,钦州市钦南区人民法院,21.944469499718174,108.65710036014903,80.0,广西壮族自治区
3,2017,江山市人民法院,28.756654832107717,118.64922207820645,80.0,浙江
4,2015,富阳市人民法院,30.065861693886067,119.95035204938907,80.0,浙江
5,2014,南京市鼓楼区人民法院,32.0712479822365,118.75094253008047,80.0,江苏
6,2015,珠海市中级人民法院,22.285509500108194,113.54362878338983,80.0,广东
7,2016,芒市人民法院,24.44503385788426,98.59295169246057,80.0,云南
8,2018,石门县人民法院,29.586346389719274,111.3705232861334,80.0,湖南
9,2013,钦州市中级人民法院,21.94502685089136,108.66709871696341,75.0,广西壮族自治区
10,2018,宁洱哈尼族彝族自治县人民法院,23.05978862529659,101.0506751845225,80.0,云南
11,2011,厦门市海沧区人民法院,24.49014795151449,118.0368389658122,75.0,福建
12,2016,益阳市中级人民法院,28.566107792587502,112.36914490408182,80.0,湖南
13,2006,绍兴县人民法院,30.091342397451463,120.49031989821478,80.0,浙江
14,2015,盈江县人民法院,24.712025331095894,97.93588882232079,80.0,云南
15,2014,钦州市中级人民法院,21.94502685089136,108.66709871696341,75.0,广西壮族自治区
16,2016,公诉机关勐海县人民检察院,21.960285895060057,100.45913512608955,80.0,云南
17,2015,河源市源城区人民法院,23.74104376026581,114.70616635643655,80.0,广东
18,2018,广州市天河区人民法院,23.117163875178658,113.41231010115204,75.0,广东
19,2011,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0,广东
20,2019,三明市中级人民法院,26.252251927884092,117.63505501032813,80.0,福建
21,2015,保山市中级人民法院,25.137265909901252,99.17773578020615,80.0,云南
22,2019,利川市人民法院,30.306305184377685,108.96538000195919,80.0,湖北
23,2014,梁河县人民法院,24.81974384826699,98.3145506455112,80.0,云南
24,2017,柳州市鱼峰区人民法院,24.290437468350145,109.43293543038821,80.0,广西壮族自治区
25,2017,大田县人民法院,25.698650208305374,117.85200189939361,80.0,福建
26,2016,绍兴县人民法院,30.091342397451463,120.49031989821478,80.0,浙江
27,2016,芒市人民法院,24.44503385788426,98.59295169246057,80.0,云南
28,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
29,2017,温州市中级人民法院,27.99594024058147,120.70160728218772,80.0,浙江
30,2015,西双版纳傣族自治州中级人民法院,22.004829241598824,100.78535799145723,80.0,云南
31,2016,永嘉县人民法院,28.153329306264546,120.68954955280596,75.0,浙江
32,2017,绍兴市中级人民法院,29.994586675243937,120.58339651225222,70.0,浙江
33,2017,深圳市宝安区人民法院,22.56243884715791,113.91736207226579,90.0,广东
34,2013,钦州市钦南区人民法院,21.944469499718174,108.65710036014903,80.0,广西壮族自治区
35,2013,郑州市金水区人民法院,34.78160422158237,113.67309336332073,80.0,河南
36,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
37,2018,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
38,2017,吉林高新技术产业开发区人民法院,43.823034492758445,125.26127292274947,80.0,吉林
39,2018,揭西县人民法院,23.433265923681603,115.8586537566105,80.0,广东
40,2017,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
41,2017,勐腊县人民法院,21.49094586430048,101.57673137638567,80.0,云南
42,2013,崇左市江州区人民法院,22.414331688403294,107.35876597464448,80.0,广西壮族自治区
43,2017,北流市人民法院,22.71479971167041,110.35659920630222,80.0,广西壮族自治区
44,2018,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
45,2014,长沙市芙蓉区人民法院,28.19378605671886,113.04209048397207,75.0,湖南
46,2016,义乌市人民法院,29.29979125485832,120.07080772557323,75.0,浙江
47,2017,从化市人民法院,23.564076578083654,113.61387761451871,80.0,广东
48,2018,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
49,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
50,2018,福清市人民法院,25.730149095151585,119.39645056726948,80.0,福建
51,2015,益阳市赫山区人民法院,28.56970760388178,112.39352491561458,80.0,湖南
52,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
53,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
54,2017,连城县人民法院,25.71204910365952,116.74793061949536,80.0,福建
55,2016,永嘉县人民法院,28.153329306264546,120.68954955280596,75.0,浙江
