,year,court,lat,lng,confidence,province
0,2013,江山市人民法院,28.756654832107717,118.64922207820645,80.0,浙江
1,2013,东兴市人民法院,21.561144783137035,107.99608082613757,80.0,广西壮族自治区
2,2018,广州市白云区人民法院,23.206977891037972,113.27053051650819,80.0,广东
3,2018,钦州市钦南区人民法院,21.944469499718174,108.65710036014903,80.0,广西壮族自治区
4,2014,河南省郑州市中级人民法院,34.77142861438362,113.75490710806598,70.0,河南
5,2017,江山市人民法院,28.756654832107717,118.64922207820645,80.0,浙江
6,2015,富阳市人民法院,30.065861693886067,119.95035204938907,80.0,浙江
7,2015,广州市花都区人民法院,23.37862422702307,113.21552541784446,90.0,广东
8,2014,南京市鼓楼区人民法院,32.0712479822365,118.75094253008047,80.0,江苏
9,2016,芒市人民法院,24.44503385788426,98.59295169246057,80.0,云南
10,2018,石门县人民法院,29.586346389719274,111.3705232861334,80.0,湖南
11,2015,盘县人民法院,25.70412205508223,104.47773491688305,80.0,贵州
12,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
13,2013,钦州市中级人民法院,21.94502685089136,108.66709871696341,75.0,广西壮族自治区
14,2012,深圳市罗湖区人民法院,22.56167958904672,114.15247850897707,75.0,广东
15,2014,沧源佤族自治县人民法院,23.156278219698333,99.25510525992374,80.0,云南
16,2016,益阳市中级人民法院,28.566107792587502,112.36914490408182,80.0,湖南
17,2015,杭州市萧山区人民法院,30.187751249727075,120.26638284744665,80.0,浙江
18,2014,钦州市中级人民法院,21.94502685089136,108.66709871696341,75.0,广西壮族自治区
19,2018,广州市天河区人民法院,23.117163875178658,113.41231010115204,75.0,广东
20,2014,中山市第一人民法院,22.50708139857002,113.4054101725152,75.0,广东
21,2019,三明市中级人民法院,26.252251927884092,117.63505501032813,80.0,福建
22,2018,浦城县人民法院,27.92429490936695,118.53707582176683,80.0,福建
23,2015,保山市中级人民法院,25.137265909901252,99.17773578020615,80.0,云南
24,2014,梁河县人民法院,24.81974384826699,98.3145506455112,80.0,云南
25,2005,南宁市青秀区人民法院,22.82280936809241,108.39893182304165,80.0,广西壮族自治区
26,2017,柳州市鱼峰区人民法院,24.290437468350145,109.43293543038821,80.0,广西壮族自治区
27,2016,东兴市人民法院,21.561144783137035,107.99608082613757,80.0,广西壮族自治区
28,2017,大田县人民法院,25.698650208305374,117.85200189939361,80.0,福建
29,2017,肇庆市高要区人民法院,23.054749249243166,112.49919299785415,80.0,广东
30,2016,绍兴县人民法院,30.091342397451463,120.49031989821478,80.0,浙江
31,2015,保山市隆阳区人民法院,25.13781315922483,99.18195098358994,80.0,云南
32,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
33,2015,临安市人民法院,30.22995607209497,119.71526549742785,80.0,浙江
34,2017,茂名市电白区人民法院,21.54288249895226,111.02077755438421,80.0,广东
35,2014,茶陵县人民法院,26.779678811272397,113.53488561628784,75.0,湖南
36,2017,温州市中级人民法院,27.99594024058147,120.70160728218772,80.0,浙江
37,2015,西双版纳傣族自治州中级人民法院,22.004829241598824,100.78535799145723,80.0,云南
38,2014,崇左市江州区人民法院,22.414331688403294,107.35876597464448,80.0,广西壮族自治区
39,2016,永嘉县人民法院,28.153329306264546,120.68954955280596,75.0,浙江
40,2017,绍兴市中级人民法院,29.994586675243937,120.58339651225222,70.0,浙江
41,2017,东兴市人民法院,21.561144783137035,107.99608082613757,80.0,广西壮族自治区
42,2014,西双版纳傣族自治州中级人民法院,22.004829241598824,100.78535799145723,80.0,云南
43,2018,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0,广东
44,2013,衢州市中级人民法院,28.941703020045512,118.87929271131051,80.0,浙江
45,2018,深圳市中级人民法院,22.56483701928558,114.07320395593456,80.0,广东
46,2014,开封市中级人民法院,34.80336765227181,114.31011188739255,75.0,河南
47,2018,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
48,2017,吉林高新技术产业开发区人民法院,43.823034492758445,125.26127292274947,80.0,吉林
49,2016,嵊州市人民法院,29.60777161500144,120.83766882617753,80.0,浙江
50,2018,揭西县人民法院,23.433265923681603,115.8586537566105,80.0,广东
51,2017,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
52,2010,福州市仓山区人民法院,26.052712707071255,119.26181396308931,90.0,福建
53,2017,北流市人民法院,22.71479971167041,110.35659920630222,80.0,广西壮族自治区
54,2017,腾冲县人民法院,25.030676939884916,98.49830818406319,80.0,云南
55,2018,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
56,2014,长沙市芙蓉区人民法院,28.19378605671886,113.04209048397207,75.0,湖南
57,2016,义乌市人民法院,29.29979125485832,120.07080772557323,75.0,浙江
58,2017,从化市人民法院,23.564076578083654,113.61387761451871,80.0,广东
59,2018,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
60,2017,云南省泸水市人民法院,25.829026769971726,98.86458616332774,14.0,云南
61,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
62,2018,福清市人民法院,25.730149095151585,119.39645056726948,80.0,福建
63,2016,磐安县人民法院,29.053350305111245,120.45853797073136,80.0,浙江
64,2017,诏安县人民法院,23.71439188426155,117.17883070468476,80.0,福建
65,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
66,2014,镇康县人民法院,23.770735932184703,98.84185759664399,80.0,云南
67,2017,昆明市中级人民法院,25.016902294177136,102.6945991431153,75.0,云南
68,2017,河口瑶族自治县人民法院,22.523402866099577,103.9656656014159,80.0,云南
69,2017,梧州市中级人民法院,23.484244017761768,111.27462252192095,80.0,广西壮族自治区
70,2014,南京市鼓楼区人民法院,32.0712479822365,118.75094253008047,80.0,江苏
71,2011,郑州市金水区人民法院,34.78160422158237,113.67309336332073,80.0,河南
72,2017,永康市人民法院,28.903597467244335,120.04723136599694,80.0,浙江
73,2016,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0,广东
74,2012,防城港市港口区人民法院,21.64957574883803,108.38921986039665,80.0,广西壮族自治区
75,2014,从化市人民法院,23.564076578083654,113.61387761451871,80.0,广东
76,2015,莆田市城厢区人民法院,25.42738003689909,119.01243530586872,75.0,福建
77,2019,常山县人民法院,28.907118156952727,118.53062015011982,80.0,浙江
78,2016,东兴市人民法院,21.561144783137035,107.99608082613757,80.0,广西壮族自治区
79,2015,昆明市盘龙区人民法院,25.073730118749918,102.72589836541265,90.0,云南
80,2017,东阳市人民法院,29.29381508790127,120.25239380279297,80.0,浙江
81,2019,玉林市中级人民法院,22.643457627981853,110.17242870143623,75.0,广西壮族自治区
82,2018,龙岩市新罗区人民法院,25.0807908369927,117.03027062920634,80.0,福建
83,2017,电白县人民法院,21.542870312007214,111.02094652565059,80.0,广东
84,2013,常山县人民法院,28.907118156952727,118.53062015011982,80.0,浙江
85,2016,东兴市人民法院,21.561144783137035,107.99608082613757,80.0,广西壮族自治区
86,2016,广州市天河区人民法院,23.117163875178658,113.41231010115204,75.0,广东
87,2015,浦城县人民法院,27.92429490936695,118.53707582176683,80.0,福建
88,2016,东阳市人民法院,29.29381508790127,120.25239380279297,80.0,浙江
89,2014,陇川县人民法院,24.181992138288827,97.79389995854405,80.0,云南
90,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
91,2016,金华市中级人民法院,29.08697501221871,119.65077095670908,75.0,浙江
92,2018,茂名市茂南区人民法院,21.67021018381725,110.91932521990155,80.0,广东
93,2014,南京市鼓楼区人民法院,32.0712479822365,118.75094253008047,80.0,江苏
94,2014,惠州市中级人民法院,23.133281848278052,114.42315232025419,80.0,广东
95,2016,武平县人民法院,25.092195681160945,116.10427127334006,80.0,福建
96,2016,上海市普陀区人民法院,31.25629164338941,121.40006747850738,80.0,上海市
97,2018,红河哈尼族彝族自治州中级人民法院,23.377638448996137,103.38020887058944,80.0,云南
98,2015,石林彝族自治县人民法院,24.77243685897739,103.28999537467746,70.0,云南
99,2014,新邵县人民法院,27.314444054492192,111.46684139589922,80.0,湖南
100,2016,天台县人民法院,29.159022404535186,120.99622535675756,70.0,浙江
101,2017,温州市中级人民法院,27.99594024058147,120.70160728218772,80.0,浙江
102,2017,玉林市中级人民法院,22.643457627981853,110.17242870143623,75.0,广西壮族自治区
103,2018,容县人民法院,22.848716527329636,110.5403585037364,75.0,广西壮族自治区
104,2018,陇川县人民法院,24.181992138288827,97.79389995854405,80.0,云南
105,2014,钦州市钦南区人民法院,21.944469499718174,108.65710036014903,80.0,广西壮族自治区
106,2015,富阳市人民法院,30.065861693886067,119.95035204938907,80.0,浙江
107,2018,红河哈尼族彝族自治州中级人民法院,23.377638448996137,103.38020887058944,80.0,云南
108,2018,文山壮族苗族自治州中级人民法院,23.401544065620396,104.22972707656515,70.0,云南
109,2014,从化市人民法院,23.564076578083654,113.61387761451871,80.0,广东
110,2015,保山市中级人民法院,25.137265909901252,99.17773578020615,80.0,云南
111,2018,勐海县人民法院,21.95735900600114,100.44547541256016,80.0,云南
112,2014,衡阳市雁峰区人民法院,26.8986853921779,112.59579898040023,80.0,湖南
113,2017,深圳市罗湖区人民法院,22.56167958904672,114.15247850897707,75.0,广东
114,2016,天台县人民法院,29.159022404535186,120.99622535675756,70.0,浙江
115,2018,大田县人民法院,25.698650208305374,117.85200189939361,80.0,福建
116,2019,石门县人民法院,29.586346389719274,111.3705232861334,80.0,湖南
117,2014,西双版纳傣族自治州中级人民法院,22.004829241598824,100.78535799145723,80.0,云南
118,2015,广州市中级人民法院,23.13403895724075,113.27876665123473,80.0,广东
119,2015,海口市秀英区人民法院,20.017920447961597,110.26683014704116,90.0,海南
120,2009,郑州市二七区人民法院,34.77587956929436,113.62485636604605,80.0,河南
121,2017,绍兴市柯桥区人民法院,30.091717743120906,120.49030299030846,80.0,浙江
122,2015,防城港市港口区人民法院,21.64957574883803,108.38921986039665,80.0,广西壮族自治区
123,2017,诸暨市人民法院,29.72031746767887,120.25759269293022,80.0,浙江
124,2015,防城港市防城区人民法院,21.774909181116445,108.36485691666857,80.0,广西壮族自治区
125,2013,贺州市八步区人民法院,24.410389010482398,111.55139492750669,80.0,广西壮族自治区
