,From,To,from_lat,from_lng,to_lat,to_lng
2,"Dongxing, Guangxi",Guangdong,21.6208918,108.0516736,23.1357694,113.1982688
3,Myanmar,"Dalizhou,Yunnan",17.1750495,95.9999652,,
4,Guangxi,An'hui,24.0,109.0,32.0,117.0
11,Guangzhou,Hengyang,23.1301964,113.2592945,26.9018019,112.605859
13,Kunming,Guanzhou,25.0437977,102.714338,23.0693127,113.3708864
14,Dehongzhou,Guanzhou,,,23.0693127,113.3708864
15,Dehongzhou,Guanzhou,,,23.0693127,113.3708864
16,Dehongzhou,Kunming,,,25.0437977,102.714338
17,Dehongzhou,Kunming,,,25.0437977,102.714338
18,Dehongzhou,Tengchong,,,25.0283988,98.4936839
20,Jinghong,Chengdu,22.0025515,100.7707274,30.6624205,104.0633219
23,Ruili,Baoshan,24.0200662,97.8554177,25.1180731,99.1654168
24,Guangzhou,Ganzhou,23.1301964,113.2592945,25.8222423,114.9156711
26,Ruili,Dalizhou,24.0200662,97.8554177,,
27,Dehongzhou,Baoshan,,,25.1180731,99.1654168
28,"Daluo Town,Xishuangbanna",Pu'er,21.6998182,100.0529945,23.0619849,101.1407285
31,"Wanding Town,Dehongzhou,Yunnan","Mangshi,Yunnan",,,24.4354669,98.5856143
32,Myanmar,Jinghong,17.1750495,95.9999652,22.0025515,100.7707274
33,Myanmar,Jinghong,17.1750495,95.9999652,22.0025515,100.7707274
37,Mangshi,Dali,24.4354669,98.5856143,25.6023916,100.2449114
40,Myanmar,Dehong,17.1750495,95.9999652,36.0823059,101.7136132
41,Ruili,Dali,24.0200662,97.8554177,25.6023916,100.2449114
43,Ruili,Dali,24.0200662,97.8554177,25.6023916,100.2449114
49,Dehongzhou,Baoshan,,,25.1180731,99.1654168
50,Guangxi,Guangdong,24.0,109.0,23.1357694,113.1982688
53,Laos,"Yunnan, China",20.0171109,103.378253,25.0,102.0
54,Vietnam,"Yunnan, China",13.2904027,108.4265113,25.0,102.0
55,"Changle,Fujian",Chongqi,25.9660393,119.5185643,,
57,Ruili,Dali,24.0200662,97.8554177,25.6023916,100.2449114
60,Dehong,Dali,36.0823059,101.7136132,25.6023916,100.2449114
62,Ruili,Baoshan,24.0200662,97.8554177,25.1180731,99.1654168
63,Mangshi,Baoshan,24.4354669,98.5856143,25.1180731,99.1654168
65,Qingyuan,Foshan,23.6832984,113.0505994,23.0247687,113.1146335
66,Dehong,Mangshi,36.0823059,101.7136132,24.4354669,98.5856143
70,"Kun'ming,Yunnan","Guangzhou,Guangdong",25.0437977,102.714338,23.1301964,113.2592945
73,Mangshi,Baoshan,24.4354669,98.5856143,25.1180731,99.1654168
77,"Nanping,Fujian",Shanghai,26.6417374,118.173639,31.2252985,121.4890497
78,Ruili,Baoshan,24.0200662,97.8554177,25.1180731,99.1654168
79,Baoshan,Dali,25.1180731,99.1654168,25.6023916,100.2449114
85,"Fangchengang,Guangxi",Guangdong,,,23.1357694,113.1982688
86,Dehong,Tengchong,36.0823059,101.7136132,25.0283988,98.4936839
91,Myanmar,"Yunnan,China",17.1750495,95.9999652,25.0,102.0
92,Dehong,Baoshan,36.0823059,101.7136132,25.1180731,99.1654168
94,Fangchenggang,Foshan,21.6177532,108.3453556,23.0247687,113.1146335
96,Hunan,Zhejiang,27.9995878,112.009538,29.0000001,119.9999999
101,"Dongxing,Guangxi","Guangzhou,Guangdong",21.6208918,108.0516736,23.1301964,113.2592945
102,Shanghai,"Panshi,Jilin",31.2252985,121.4890497,42.9409718,126.052932
107,Ruili,Kunming,24.0200662,97.8554177,25.0437977,102.714338
118,Laos,Jinghong,20.0171109,103.378253,22.0025515,100.7707274
122,Guangzhou,Foshan,23.1301964,113.2592945,23.0247687,113.1146335
124,"Heyuan,Guangdong","Longyan,Fujian,Bozhou,Anhui",23.746777,114.6954482,,
138,"Jieyang,Guangdong","Xiamen,Fujian",23.5430817,116.3497169,24.4586961,118.0745391
139,"Beihai,Guangxi","Shenzhen,Guangdong",21.4799081,109.1068061,22.5445697,114.0545346
142,Dehong,Tengchong,36.0823059,101.7136132,25.0283988,98.4936839
