,From,To
2,"Dongxing, Guangxi",Guangdong
3,Myanmar,"Dalizhou,Yunnan"
4,Guangxi,An'hui
11,Guangzhou,Hengyang
13,Kunming,Guanzhou
14,Dehongzhou,Guanzhou
15,Dehongzhou,Guanzhou
16,Dehongzhou,Kunming
17,Dehongzhou,Kunming
18,Dehongzhou,Tengchong
20,Jinghong,Chengdu
23,Ruili,Baoshan
24,Guangzhou,Ganzhou
26,Ruili,Dalizhou
27,Dehongzhou,Baoshan
28,"Daluo Town,Xishuangbanna",Pu'er
31,"Wanding Town,Dehongzhou,Yunnan","Mangshi,Yunnan"
32,Myanmar,Jinghong
33,Myanmar,Jinghong
37,Mangshi,Dali
40,Myanmar,Dehong
41,Ruili,Dali
43,Ruili,Dali
49,Dehongzhou,Baoshan
50,Guangxi,Guangdong
53,Laos,"Yunnan, China"
54,Vietnam,"Yunnan, China"
55,"Changle,Fujian",Chongqi
57,Ruili,Dali
60,Dehong,Dali
62,Ruili,Baoshan
63,Mangshi,Baoshan
65,Qingyuan,Foshan
66,Dehong,Mangshi
70,"Kun'ming,Yunnan","Guangzhou,Guangdong"
73,Mangshi,Baoshan
77,"Nanping,Fujian",Shanghai
78,Ruili,Baoshan
79,Baoshan,Dali
85,"Fangchengang,Guangxi",Guangdong
86,Dehong,Tengchong
91,Myanmar,"Yunnan,China"
92,Dehong,Baoshan
94,Fangchenggang,Foshan
96,Hunan,Zhejiang
101,"Dongxing,Guangxi","Guangzhou,Guangdong"
102,Shanghai,"Panshi,Jilin"
107,Ruili,Kunming
118,Laos,Jinghong
122,Guangzhou,Foshan
124,"Heyuan,Guangdong","Longyan,Fujian,Bozhou,Anhui"
138,"Jieyang,Guangdong","Xiamen,Fujian"
139,"Beihai,Guangxi","Shenzhen,Guangdong"
142,Dehong,Tengchong
