,cause,court info,date,url
0,野生動物保育法,臺灣花蓮地方法院 108 年度 訴 字第 56 號刑事判決（10K）,108.03.25,https://law.judicial.gov.tw/FJUD/data.aspx?ro=0&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
1,野生動物保育法等,臺灣高等法院 107 年度 原上訴 字第 82 號刑事判決（13K）,107.10.03,https://law.judicial.gov.tw/FJUD/data.aspx?ro=1&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
2,毒品危害防制條例等,臺灣高等法院 臺南分院 107 年度 上訴 字第 478 號刑事判決（60K）,107.08.02,https://law.judicial.gov.tw/FJUD/data.aspx?ro=2&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
3,聲請撤銷緩刑,臺灣高等法院 高雄分院 107 年度 原抗 字第 1 號刑事裁定（5K）,107.07.16,https://law.judicial.gov.tw/FJUD/data.aspx?ro=3&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
4,違反野生動物保育法等,臺灣新竹地方法院 106 年度 原訴 字第 21 號刑事判決（16K）,107.04.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=4&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
5,違反毒品危害防制條例等,臺灣臺南地方法院 106 年度 訴 字第 1234 號刑事判決（59K）,107.02.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=5&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
6,違反藥事法等,臺灣屏東地方法院 104 年度 訴 字第 45 號刑事判決（455K）,107.01.30,https://law.judicial.gov.tw/FJUD/data.aspx?ro=6&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
7,違反野生動物保育法,臺灣屏東地方法院 106 年度 原訴 字第 45 號刑事判決（10K）,107.01.24,https://law.judicial.gov.tw/FJUD/data.aspx?ro=7&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
8,妨害名譽,臺灣高等法院 臺中分院 106 年度 原上易 字第 31 號刑事判決（11K）,107.01.23,https://law.judicial.gov.tw/FJUD/data.aspx?ro=8&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
9,野生動物保育法,臺灣新北地方法院 106 年度 簡 字第 7483 號刑事判決（8K）,107.01.02,https://law.judicial.gov.tw/FJUD/data.aspx?ro=9&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
10,妨害名譽,臺灣南投地方法院 106 年度 原易 字第 3 號刑事判決（9K）,106.09.06,https://law.judicial.gov.tw/FJUD/data.aspx?ro=10&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
11,野生動物保育法,臺灣花蓮地方法院 106 年度 原訴 字第 3 號刑事判決（33K）,106.06.22,https://law.judicial.gov.tw/FJUD/data.aspx?ro=11&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
12,藥事法,臺北高等行政法院 104 年度 訴 字第 1583 號行政判決（42K）,106.01.05,https://law.judicial.gov.tw/FJUD/data.aspx?ro=12&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
